semana,pdv,produto,quantidade
3,1027356552181929439,1009179103632945474,1.7174186676738648
4,1027356552181929439,1009179103632945474,1.5441926410907798
5,1027356552181929439,1009179103632945474,1.5356316557423488
5,1037093240482805283,1009179103632945474,1.3984417018645814
5,1057223373529991552,1009179103632945474,2.1583925690292336
5,1066287066655869900,1009179103632945474,2.4330403997403742
4,1073673009638227380,1009179103632945474,3.444953121919589
5,1073673009638227380,1009179103632945474,4.652663638706636
4,1116765688108556050,1009179103632945474,2.2908405162969325
5,1168798796850757278,1009179103632945474,1.4014617332732042
4,1178680465791445517,1009179103632945474,2.5030874337405744
5,1205024311691306361,1009179103632945474,4.574501394187801
3,1225904178990197216,1009179103632945474,1.8596862339031295
3,1225904178990197216,1009179103632945474,1.4879061028042007
3,1301456668504717856,1009179103632945474,2.8368561929329217
5,1301456668504717856,1009179103632945474,2.1499092203588925
5,1326754154636276021,1009179103632945474,2.72137282507448
5,1326754154636276021,1009179103632945474,2.3744189166086365
4,1333541401405733492,1009179103632945474,2.2089039017906713
4,1333541401405733492,1009179103632945474,2.430569697330403
5,1333541401405733492,1009179103632945474,2.2989421804607875
4,1363945729677457034,1009179103632945474,1.5581167862601668
5,1407915698872389684,1009179103632945474,2.6549927397493565
5,1493244414183181280,1009179103632945474,1.482257684933356
5,1496467182461639694,1009179103632945474,1.8478183858868236
5,1531902589490671210,1009179103632945474,1.6494313627516544
5,157525483959105997,1009179103632945474,10.946337907877448
3,1604470660851767741,1009179103632945474,2.8149066179882327
4,1604470660851767741,1009179103632945474,3.272443183162037
5,1604470660851767741,1009179103632945474,2.4903859849552146
4,1619459682248298375,1009179103632945474,1.461519931808493
5,1619459682248298375,1009179103632945474,1.7333062483525388
4,1647602580514617725,1009179103632945474,3.2734035375544566
5,1647602580514617725,1009179103632945474,3.466032774018792
5,1647602580514617725,1009179103632945474,5.125012626049517
4,1659060246711875756,1009179103632945474,1.6886718034633619
5,1659060246711875756,1009179103632945474,1.9739646572796181
5,1833249696630356447,1009179103632945474,3.2371023595296555
5,1855310691306555578,1009179103632945474,7.184722706803773
4,1879032474497527779,1009179103632945474,1.6712889237700292
4,2020390623845187856,1009179103632945474,2.917256994564499
5,2020390623845187856,1009179103632945474,2.67964506495495
5,2058222541129532487,1009179103632945474,2.8739640163333817
4,2147890957671736141,1009179103632945474,2.750649567411717
4,2147890957671736141,1009179103632945474,3.238418624075804
4,2182337327597221139,1009179103632945474,2.8140229800436636
5,2182337327597221139,1009179103632945474,3.7080856146377443
5,2214752385109818102,1009179103632945474,3.01867433183079
5,2246902379712865057,1009179103632945474,2.684258898528563
5,2253388937638480168,1009179103632945474,2.0222073719946216
5,2253388937638480168,1009179103632945474,2.0969094430616693
5,2359943051331078569,1009179103632945474,1.4097094085528596
5,2365390987240841700,1009179103632945474,2.9710804973273333
4,2382490111828240860,1009179103632945474,2.0087448440154017
5,2382490111828240860,1009179103632945474,2.2721364622735
5,2397389856959348455,1009179103632945474,2.104219311037205
5,241280933632471353,1009179103632945474,5.422561431986787
5,2480104095415436360,1009179103632945474,2.7296929435495603
5,2481365814393432018,1009179103632945474,4.050209927575398
4,2541553183103351691,1009179103632945474,1.7161642355325568
5,2542822639970401384,1009179103632945474,1.9375654107530562
4,2613209278244511262,1009179103632945474,3.714596610460752
5,2613209278244511262,1009179103632945474,4.9223071272478025
5,2711121035626683885,1009179103632945474,2.1477622568758385
5,2904283814836480430,1009179103632945474,2.1965946066549944
5,292805027948656528,1009179103632945474,2.5963712566176187
4,2958557456985619887,1009179103632945474,3.9696892225767324
5,2958557456985619887,1009179103632945474,5.426835736446365
4,2970538398854092260,1009179103632945474,5.497840238903129
4,2970538398854092260,1009179103632945474,3.6840958918357254
5,2970538398854092260,1009179103632945474,5.801846851414417
4,3051739612471548785,1009179103632945474,5.893807238799332
5,3051739612471548785,1009179103632945474,4.962615193883573
5,3121336671065424913,1009179103632945474,1.5530145354356815
4,3130668981498065153,1009179103632945474,2.088087548716767
5,3130668981498065153,1009179103632945474,2.442569875577689
5,3130668981498065153,1009179103632945474,1.7825271003053456
5,3479414742409367478,1009179103632945474,2.7227063895851287
5,3568770138857585468,1009179103632945474,12.110681786702882
4,377112829300346974,1009179103632945474,1.6832047825499905
5,3855379009918138509,1009179103632945474,8.767238379967873
5,3985857585215546489,1009179103632945474,1.4620217076783144
5,4026917615102902698,1009179103632945474,1.6009229413238268
5,4101073814365440176,1009179103632945474,2.0863207252496747
4,4228575582191764399,1009179103632945474,3.3911272128450882
5,4228575582191764399,1009179103632945474,2.9889693911221307
5,427287367476461245,1009179103632945474,1.9830274184978705
5,4276730219700358295,1009179103632945474,3.4772350479696756
5,4289794598913867864,1009179103632945474,4.091728704371287
5,4415433687387481418,1009179103632945474,2.6897339459044547
5,4549256129972885670,1009179103632945474,2.4677816058954725
5,4699443946913735696,1009179103632945474,1.708639541865679
5,4738971285555273058,1009179103632945474,4.730838639000048
5,4743958978514550580,1009179103632945474,2.1406920735134864
5,4795466737803575761,1009179103632945474,1.7444520924099542
4,4800750325225351111,1009179103632945474,2.5030874337405744
5,4800750325225351111,1009179103632945474,2.2845074547733537
4,5025759003012408194,1009179103632945474,5.169295789849807
5,5025759003012408194,1009179103632945474,3.91710314360144
5,5042223339720971275,1009179103632945474,9.451989326383698
4,5072956753005542537,1009179103632945474,3.4356786166281474
5,5072956753005542537,1009179103632945474,2.914195609823527
5,5144799655173740835,1009179103632945474,1.4703418261533947
5,5204256062771295891,1009179103632945474,1.9013032645095147
5,5482716710041370017,1009179103632945474,3.9895072102176754
5,5501618457528534700,1009179103632945474,1.708639541865679
4,5528590887590754308,1009179103632945474,2.240198127825154
4,5573437061800564309,1009179103632945474,2.042523535214965
5,5573437061800564309,1009179103632945474,1.6920266768948922
5,5588014092818255204,1009179103632945474,3.652680960946647
4,5689442145438485923,1009179103632945474,3.3421256904092442
5,5728914890127012881,1009179103632945474,2.726039834153691
5,5733487992141042620,1009179103632945474,2.882759051245003
5,5791837125058561382,1009179103632945474,2.9852427042278618
5,5797425530065241645,1009179103632945474,1.6717906996398506
3,5811131273506745413,1009179103632945474,2.1033994143357577
3,5811131273506745413,1009179103632945474,1.5866211107300494
4,5811131273506745413,1009179103632945474,1.4876236214985825
5,5811131273506745413,1009179103632945474,1.581580431465976
5,5811131273506745413,1009179103632945474,1.3969179049052418
5,5977251959080601880,1009179103632945474,1.3836030529943568
5,6116590439400664478,1009179103632945474,2.2490200221700563
3,6117436737236427504,1009179103632945474,2.5617031733094047
5,6117436737236427504,1009179103632945474,3.0876971676636007
5,6187352463431901315,1009179103632945474,2.9748983271812577
5,6201126428010905557,1009179103632945474,6.394540946589502
5,6205723410736861336,1009179103632945474,1.4703418261533947
3,6406468940538692387,1009179103632945474,2.143676020036979
4,6512986039352109433,1009179103632945474,16.059480876930884
5,6512986039352109433,1009179103632945474,14.295978358224398
5,6529972462103768182,1009179103632945474,1.4814876702108102
4,6674004198017668031,1009179103632945474,2.0312007939461156
4,6753766487922382019,1009179103632945474,2.4034781951750985
5,6753766487922382019,1009179103632945474,2.4623065585195807
5,6798860164538325706,1009179103632945474,2.6549927397493565
5,6808769077113954452,1009179103632945474,1.6494313627516544
5,6900536000772352724,1009179103632945474,2.764112095390936
5,6900536000772352724,1009179103632945474,2.9775970298795436
4,6918696291908819885,1009179103632945474,2.726172173011704
5,6918696291908819885,1009179103632945474,3.351719240427969
4,6932721036142284356,1009179103632945474,2.4837821740818704
4,6932721036142284356,1009179103632945474,3.24148615736257
5,6957238410976217625,1009179103632945474,2.065472884483145
5,6972022730498235358,1009179103632945474,2.3125205023863042
5,6997391513541244118,1009179103632945474,1.8792549444653481
5,7050695075022568992,1009179103632945474,3.2472405184207065
5,7062863875743890785,1009179103632945474,2.5963712566176187
5,7133483833568269649,1009179103632945474,1.6494313627516544
4,7173738634174415506,1009179103632945474,1.691497529045697
5,7173738634174415506,1009179103632945474,1.682936543697266
4,7258564421045379389,1009179103632945474,1.3896198075196797
